,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662941684505985e-07,7.284667134826721e-07,1.1921731650768957e-06,1.6585035260494317e-06,2.1281135362328023e-06,2.601099676365789e-06,3.0769820878084593e-06,3.5551142698554936e-06,4.034598969525619e-06,4.514472812134012e-06,4.993780730374039e-06,5.471361949483489e-06,5.946495367696892e-06,6.418151686719576e-06,6.8853041858209005e-06,7.347394690515926e-06,7.803439467753082e-06,8.252627063869957e-06,8.694381406654025e-06,9.127871478501289e-06,9.552703207271286e-06,9.967973356873134e-06,1.0373042346069226e-05,1.0767500779659877e-05,1.1150790888637741e-05,1.1522115313424407e-05,1.188097558694073e-05,1.2227144582711306e-05,1.2559624580413694e-05,1.2878079796491256e-05,1.3182155762088168e-05,1.347113567851513e-05,1.3744520675600055e-05,1.400189567373339e-05,1.4243185450162789e-05,1.4467461393610647e-05,1.4674205912498678e-05,1.4863503127910832e-05,1.5034807304923702e-05,1.518724104138763e-05,1.5321719672104704e-05,1.543628481709574e-05,1.5531906829494143e-05,1.560831523355174e-05,1.5664625201815612e-05,1.570090729470948e-05,1.571743690545817e-05,1.571366710084159e-05,1.5689587724287022e-05,1.564555288735261e-05,1.5581450358094413e-05,1.5497181293025728e-05,1.539289332687256e-05,1.5268711726206115e-05,1.5124640200001095e-05,1.4961080625508172e-05,1.4778231072656508e-05,1.4576319131552042e-05,1.4356114572869536e-05,1.4117318709872926e-05,1.3860427235164906e-05,1.3585980687519844e-05,1.3294023294018754e-05,1.2984998073259258e-05,1.2659528516553617e-05,1.231804755797664e-05,1.1960816577571146e-05,1.1588417540699135e-05,1.1201234557429952e-05,1.0799532634652675e-05,1.0383992920029468e-05,9.954758882550362e-06,9.512552103245262e-06,9.057698849069983e-06,8.590655433444432e-06,8.111980926281363e-06,7.621847651725981e-06,7.1209251690938496e-06,6.609498948339236e-06,6.08817764472143e-06,5.5572930717749954e-06,5.017329489801508e-06,4.4687383631427365e-06,3.912077528948054e-06,3.347867511705069e-06,2.7767020864065807e-06,2.199296299114961e-06,1.6165495132452985e-06,1.0296960525807355e-06,4.413072585368385e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.662941684505985e-09,-7.284667134826719e-09,-1.1921731650768957e-08,-1.6585035260494313e-08,-2.128113536232802e-08,-2.6010996763657895e-08,-3.0769820878084585e-08,-3.555114269855493e-08,-4.034598969525619e-08,-4.514472812134013e-08,-4.9937807303740385e-08,-5.471361949483489e-08,-5.946495367696891e-08,-6.418151686719576e-08,-6.8853041858209e-08,-7.347394690515926e-08,-7.803439467753081e-08,-8.252627063869955e-08,-8.694381406654024e-08,-9.127871478501287e-08,-9.552703207271283e-08,-9.967973356873133e-08,-1.0373042346069225e-07,-1.0767500779659875e-07,-1.115079088863774e-07,-1.1522115313424406e-07,-1.188097558694073e-07,-1.2227144582711303e-07,-1.2559624580413692e-07,-1.2878079796491254e-07,-1.3182155762088167e-07,-1.347113567851513e-07,-1.3744520675600055e-07,-1.4001895673733387e-07,-1.4243185450162788e-07,-1.4467461393610642e-07,-1.4674205912498679e-07,-1.486350312791083e-07,-1.5034807304923704e-07,-1.518724104138763e-07,-1.53217196721047e-07,-1.5436284817095737e-07,-1.5531906829494142e-07,-1.5608315233551735e-07,-1.566462520181561e-07,-1.5700907294709477e-07,-1.5717436905458168e-07,-1.5713667100841587e-07,-1.5689587724287021e-07,-1.5645552887352606e-07,-1.5581450358094413e-07,-1.5497181293025724e-07,-1.5392893326872554e-07,-1.5268711726206109e-07,-1.5124640200001094e-07,-1.4961080625508168e-07,-1.4778231072656507e-07,-1.457631913155204e-07,-1.4356114572869534e-07,-1.4117318709872927e-07,-1.3860427235164903e-07,-1.3585980687519842e-07,-1.329402329401875e-07,-1.2984998073259254e-07,-1.2659528516553616e-07,-1.231804755797664e-07,-1.1960816577571143e-07,-1.1588417540699132e-07,-1.1201234557429953e-07,-1.0799532634652672e-07,-1.0383992920029468e-07,-9.954758882550359e-08,-9.512552103245261e-08,-9.057698849069983e-08,-8.590655433444433e-08,-8.111980926281361e-08,-7.62184765172598e-08,-7.12092516909385e-08,-6.609498948339236e-08,-6.08817764472143e-08,-5.557293071774994e-08,-5.017329489801507e-08,-4.4687383631427356e-08,-3.912077528948054e-08,-3.3478675117050686e-08,-2.7767020864065803e-08,-2.1992962991149606e-08,-1.6165495132452982e-08,-1.0296960525807354e-08,-4.413072585368385e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2065921130076517e-05,1.258453029519648e-05,1.3158926995652648e-05,1.3782444422957138e-05,1.4446441991420464e-05,1.5141260701593639e-05,1.5857207037087484e-05,1.658529021201401e-05,1.7317616953289902e-05,1.8047496533791285e-05,1.8769365515217315e-05,1.9214561771086727e-05,1.933743441712968e-05,1.948877086513664e-05,1.965714954569371e-05,1.983306037433957e-05,2.0009193899037598e-05,2.0179487620214444e-05,2.0339178429044627e-05,2.0484141705778756e-05,2.0610899662414368e-05,2.07165310379207e-05,2.0798113393098937e-05,2.0853794497397042e-05,2.08813972555296e-05,2.087889727134658e-05,2.084523799110549e-05,2.0778742333338076e-05,2.067813815110665e-05,2.0542645142931313e-05,2.0371184223300076e-05,2.0163457941562807e-05,1.991846479178401e-05,1.9635740785526783e-05,1.931525730510982e-05,1.895686616668705e-05,1.8560205222508426e-05,1.8125450708565427e-05,1.765323078355454e-05,1.714331148889709e-05,1.6596436441220317e-05,1.6013419422362385e-05,1.5394783237512505e-05,1.474145480102223e-05,1.4054564625923339e-05,1.3335679402855855e-05,1.2585698228467535e-05,1.1806052634426313e-05,1.0998768978557146e-05,1.0165488520259232e-05,9.30776918171006e-06,8.428405877769534e-06,7.528611587142354e-06,6.611297570116275e-06,5.678759248480664e-06,4.733189567929492e-06,3.7772078493867277e-06,2.813478628865815e-06,1.8445448044846987e-06,8.730899708714549e-07,-9.820558757604926e-08,-1.0666833424633933e-06,-2.0296671258357885e-06,-2.9845272867256727e-06,-3.928670287030741e-06,-4.859499916008823e-06,-5.774621812891987e-06,-6.671644671600784e-06,-7.54826530723505e-06,-8.402605214948934e-06,-9.23222656443497e-06,-1.0035284847141611e-05,-1.0810112245789662e-05,-1.1554745814834119e-05,-1.226767104512219e-05,-1.2947684408646356e-05,-1.3593542290667483e-05,-1.4203940289526169e-05,-1.477805433525269e-05,-1.5314969750401504e-05,-1.5813741406016484e-05,-1.6274082351638872e-05,-1.669511903859146e-05,-1.707689106154176e-05,-1.741902085153382e-05,-1.7721429219474892e-05,-1.798431511713869e-05,-1.8207361472360264e-05,-1.8391201062949663e-05,-1.8535900661650933e-05,-1.8642208837105695e-05,-1.871047277988442e-05,-1.874141109799373e-05,-1.8735764437860403e-05,-1.8694566902269198e-05,-1.861880641522108e-05,-1.8509619079416652e-05,-1.8368288365194693e-05,-1.8196119297537282e-05,-1.799421755024422e-05,-1.776244480036276e-05,-1.7362870665642316e-05,-1.6745548709230647e-05,-1.6102206640463037e-05,-1.5434883193842755e-05,-1.4745943641299698e-05,-1.4038160979920556e-05,-1.3314817023460908e-05,-1.257982203034054e-05,-1.18378440430346e-05,-1.1094425352156242e-05,-1.0356042504900951e-05,-9.630042377016847e-06,-8.924375280141526e-06,-8.247073797784499e-06,-7.605514031737454e-06
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08340235311046e-09,1.3829138341529662e-08,2.2482597460471278e-08,3.1039500047607584e-08,3.948959078268474e-08,4.781290153983126e-08,5.598001625990659e-08,6.395894028837647e-08,7.171435330030203e-08,7.921082292314931e-08,8.641424201657573e-08,9.328848690644239e-08,9.980593517396554e-08,1.0593550946870647e-07,1.1164761772132133e-07,1.1692184851694677e-07,1.217324732193638e-07,1.260581625103216e-07,1.298829797849015e-07,1.3318870881892346e-07,1.3596561171543919e-07,1.3819783597613876e-07,1.3987554782142394e-07,1.4099411818049605e-07,1.4154856292564276e-07,1.4153259537221115e-07,1.4094622833164122e-07,1.397949203646937e-07,1.3807635344738156e-07,1.3579896471037708e-07,1.3297283982687794e-07,1.296061652376541e-07,1.257120841443491e-07,1.2130679350118043e-07,1.1641160859400199e-07,1.1104247521642111e-07,1.0522166258991942e-07,9.897780743787697e-08,9.23369248947876e-08,8.53258177210448e-08,7.798208645041085e-08,7.033235849544463e-08,6.241673736429762e-08,5.4271471703672705e-08,4.5933907674953155e-08,3.744444650051943e-08,2.884360612103249e-08,2.017321190155554e-08,1.1475537568969963e-08,2.791745222536097e-09,-5.835710525094581e-09,-1.4364060890752217e-08,-2.2751921950359203e-08,-3.0958354028347346e-08,-3.8942024705708656e-08,-4.666577085610822e-08,-5.4091983568953477e-08,-6.118453331308614e-08,-6.791509857877816e-08,-7.424456935779137e-08,-8.014468410754295e-08,-8.559008542536662e-08,-9.055016355459879e-08,-9.500198756292e-08,-9.89278175837221e-08,-1.0230918500655404e-07,-1.0512665432517329e-07,-1.0736866538847455e-07,-1.0902224243660356e-07,-1.1007403876736822e-07,-1.1052119048862803e-07,-1.1035179984415639e-07,-1.0956824163400418e-07,-1.0816653776153903e-07,-1.0614742476262039e-07,-1.0351594594647713e-07,-1.0026973603774696e-07,-9.642033550039171e-08,-9.197139194667377e-08,-8.693634807341114e-08,-8.1323156311646e-08,-7.514512404031915e-08,-6.841606311612865e-08,-6.115389793376232e-08,-5.337650209442294e-08,-4.510453463527098e-08,-3.6362288063613e-08,-2.7178449592060695e-08,-1.7588690610870804e-08,-7.653234119067583e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.248569949122804e-06,1.4942890654472127e-06,1.7759519873388672e-06,2.0962596744404027e-06,2.4568041224210023e-06,2.8581114272579807e-06,3.2998473563832777e-06,3.781084704895795e-06,4.300546141103754e-06,4.856781780202182e-06,5.448279177114768e-06,6.034899360542747e-06,6.50872321313224e-06,7.0306918914692e-06,7.592505654936687e-06,8.188675588342555e-06,8.815197261903077e-06,9.469253678305477e-06,1.0148257017494395e-05,1.0850064363180453e-05,1.1572646294072667e-05,1.23140080582189e-05,1.3072465743729376e-05,1.384585421056652e-05,1.4632424632314191e-05,1.5430416293699585e-05,1.623770933489808e-05,1.7052537701691883e-05,1.7872988010779304e-05,1.8697028170249733e-05,1.9522735643855687e-05,2.0348030173132902e-05,2.1170953120514637e-05,2.1989441657293913e-05,2.2801405890648695e-05,2.3604766287222593e-05,2.4397393660325563e-05,2.517715769860914e-05,2.594200047565763e-05,2.6689656739488707e-05,2.741804009033998e-05,2.812508669805093e-05,2.880858052043003e-05,2.946642315768969e-05,3.009658138546509e-05,3.069728912837397e-05,3.1266284204430946e-05,3.1801583659865504e-05,3.230172579395681e-05,3.276488303420544e-05,3.31889730138977e-05,3.357355197130833e-05,3.39157685973876e-05,3.4215471136376694e-05,3.447152734699722e-05,3.468233633714704e-05,3.484730906920447e-05,3.496621184088485e-05,3.503814770646033e-05,3.50628769306771e-05,3.5040661203122836e-05,3.4971448943723276e-05,3.485534498418338e-05,3.4692836831848655e-05,3.44845272251759e-05,3.423103654622449e-05,3.393350470731101e-05,3.3592994862516356e-05,3.321071702585188e-05,3.278845496306922e-05,3.232717508109023e-05,3.182862481888776e-05,3.129465426648664e-05,3.072680873998743e-05,3.012702447454541e-05,2.9497397199621246e-05,2.8839928605566956e-05,2.8156567905268425e-05,2.7449474614460442e-05,2.6720723486364634e-05,2.5972373675433947e-05,2.520664870499597e-05,2.4425604798148656e-05,2.3631448737061362e-05,2.2826290965789136e-05,2.201225503284728e-05,2.1191437755801454e-05,2.036594660439449e-05,1.9537830977278036e-05,1.8709182194103134e-05,1.7881986718556793e-05,1.7058320053234036e-05,1.6240196018053596e-05,1.542965593455741e-05,1.4628679977880649e-05,1.3839314824556567e-05,1.3063612972678868e-05,1.2303608762941267e-05,1.156130290669343e-05,1.0838583692029418e-05,1.0136297920698188e-05,9.357019752459913e-06,8.600797637401286e-06,7.872317992465144e-06,7.1730784470629424e-06,6.504595066471174e-06,5.868407772657499e-06,5.266082060088863e-06,4.6992022321067985e-06,4.169348281604112e-06,3.6780447870341622e-06,3.226667376664357e-06,2.816294247491581e-06,2.447502840127932e-06,2.1201391474236194e-06,1.8331224113549364e-06
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.577102363153942e-09,4.536436023021706e-09,7.846177073963539e-09,1.155305177195026e-08,1.568354667731899e-08,2.0251779928496252e-08,2.5260267376266972e-08,3.0706529546575376e-08,3.6581448292857174e-08,4.287199467597667e-08,4.9562204858392555e-08,5.66307369306591e-08,6.405892129836477e-08,7.182196047851631e-08,7.989292974082636e-08,8.824843568885353e-08,9.685831340101674e-08,1.0569280817450256e-07,1.1472352538975354e-07,1.2391774854136353e-07,1.3324694212846978e-07,1.426751208485645e-07,1.5216866441708417e-07,1.616961634611552e-07,1.712235815586748e-07,1.8071284747506193e-07,1.90129485730445e-07,1.9944271198301477e-07,2.086098737313184e-07,2.1759813515568042e-07,2.2637441742619476e-07,2.3489979039139862e-07,2.431391057515964e-07,2.5105887440712e-07,2.586321860687066e-07,2.658177502350381e-07,2.7258199694355956e-07,2.7890347521088134e-07,2.847504750934109e-07,2.9008564863622525e-07,2.949078205621642e-07,2.9916145517343404e-07,3.0284992516510804e-07,3.059541375919746e-07,3.0844462331211154e-07,3.1031283621627715e-07,3.115565897971245e-07,3.1215939021490647e-07,3.1211770606652725e-07,3.1143749487450027e-07,3.101176889712041e-07,3.0815982000534024e-07,3.055725472475395e-07,3.0236628642080083e-07,2.9855131023518814e-07,2.9414764466192427e-07,2.891733382415022e-07,2.836489045469792e-07,2.7760610643297436e-07,2.710595083025135e-07,2.6403924817062833e-07,2.5657728069656614e-07,2.4869874247591413e-07,2.4043649134489157e-07,2.318267412895854e-07,2.229034038245256e-07,2.1369873954874423e-07,2.0424979928349513e-07,1.945913211934519e-07,1.8475708755117703e-07,1.7478561924053378e-07,1.6470976149982147e-07,1.5456797038320555e-07,1.4439466814040606e-07,1.3422516435940538e-07,1.240949573293193e-07,1.1403670444839247e-07,1.040854558997239e-07,9.427367747821987e-08,8.463447422190526e-08,7.51993149966188e-08,6.599941105067825e-08,5.706515783970954e-08,4.842612411373557e-08,4.0111131328406684e-08,3.214824851759044e-08,2.4564858069093308e-08,1.738821074247879e-08,1.0646695322598829e-08,4.378065065145187e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.311429959410811e-08,2.1318903267943327e-07,2.912309118346621e-07,3.362509990899624e-07,3.546166325214733e-07,3.508044158194874e-07,3.281200905497125e-07,2.8906542546923837e-07,2.3566772876266953e-07,1.6963372949169645e-07,9.246761666667752e-08,5.565616695534434e-09,-8.97763404525881e-08,-1.922755287615299e-07,-3.0066779837475883e-07,-4.1370554704185715e-07,-5.301185541570743e-07,-6.486335517820873e-07,-7.679734273145206e-07,-8.868512752172345e-07,-1.0039906706992446e-06,-1.1181035002095275e-06,-1.2279298879222844e-06,-1.3322427265042143e-06,-1.4298442315642297e-06,-1.5195705696466384e-06,-1.600331989709642e-06,-1.6711246133607151e-06,-1.7309750234521675e-06,-1.7790546678689938e-06,-1.8146344118662533e-06,-1.8370690649720954e-06,-1.84586811629089e-06,-1.8406768737585422e-06,-1.8213137643419286e-06,-1.787677537305408e-06,-1.7398530229033e-06,-1.6781310197868312e-06,-1.6029191901673746e-06,-1.5147491676466722e-06,-1.4144261228980468e-06,-1.3027362811291749e-06,-1.1807553028013544e-06,-1.0496145995196193e-06,-9.105598417746357e-07,-7.649535284995291e-07,-6.142273360189786e-07,-4.598890790355211e-07,-3.0348177920620785e-07,-1.4654520866282465e-07,9.357418821403684e-09,1.6267740537579245e-07,3.1192532177790615e-07,4.556705824796148e-07,5.925445442206706e-07,7.213258794445063e-07,8.408797017955766e-07,9.501992803425139e-07,1.048494956038968e-06,1.1349591594977495e-06,1.2090566487835305e-06,1.2704135205610158e-06,1.3187316567207457e-06,1.3539391644362747e-06,1.3761393448059769e-06,1.3855510281822198e-06,1.3825126222190175e-06,1.367537691749606e-06,1.3412374085031335e-06,1.304330364295539e-06,1.2576739787937523e-06,1.202177004857026e-06,1.1388613630063834e-06,1.0687978804537562e-06,9.931161568366826e-07,9.129823663940997e-07,8.296081283730327e-07,7.442107707033145e-07,6.580376876139772e-07,5.723103785848764e-07,4.88276847491353e-07,4.0715677542440544e-07,3.301613271441083e-07,2.5846181097824513e-07,1.9322305083986724e-07,1.3558617022945904e-07,8.666828065130289e-08,4.7578313366523956e-08,1.9440210848302575e-08,3.395760117132768e-09,2.783570622747177e-40,-5.004618584227043e-58,1.2528990620651708e-75,-4.597960490788135e-93,2.6084973025917903e-110,-2.4188110160473274e-127,3.8791881552324925e-144,-1.1340729636092191e-160,6.2964439791331515e-177,-6.766699714568536e-193,1.387172258772276e-208,-5.111966500316176e-224,2.7934029957198184e-254,-3.5257702653609956e-284,4.8673490655e-314
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.280989821512707e-09,8.384840092493567e-09,1.258663114646317e-08,1.5739716271403603e-08,1.772582596872041e-08,1.8442749849147057e-08,1.7808600120004484e-08,1.575976981512498e-08,1.225601020557996e-08,7.280022449067939e-09,8.379956953883468e-10,-7.038633307765887e-09,-1.6297879409641967e-08,-2.686276597697447e-08,-3.8634541481087024e-08,-5.149655077501416e-08,-6.531043683502942e-08,-7.992125719823445e-08,-9.515983507840082e-08,-1.1084194183332347e-07,-1.2677494485472057e-07,-1.4275245555761906e-07,-1.585638954991475e-07,-1.739966759287788e-07,-1.888351596201084e-07,-2.028617620018442e-07,-2.1586653383162297e-07,-2.2765014222698417e-07,-2.380113263608909e-07,-2.4677213235450524e-07,-2.537690122381636e-07,-2.5884963630315205e-07,-2.6188737065927053e-07,-2.627789156022992e-07,-2.614519739250307e-07,-2.5784614151459404e-07,-2.5193610519541365e-07,-2.4373584660087634e-07,-2.332799312826456e-07,-2.206270784723942e-07,-2.0589087087185676e-07,-1.891783956353024e-07,-1.706576685304736e-07,-1.5050715903932936e-07,-1.2892803663912312e-07,-1.0614765775057408e-07,-8.240896980600361e-08,-5.797028182807337e-08,-3.3099958957738775e-08,-8.068535902357774e-09,1.6847821713239854e-08,4.137370345148963e-08,6.524280591830723e-08,8.819858270390271e-08,1.0999518365012894e-07,1.3041315019596857e-07,1.4924905423834742e-07,1.6632323573815314e-07,1.8149644119124674e-07,1.9462702391175044e-07,2.0562408720786253e-07,2.1442754594368966e-07,2.2099222369602782e-07,2.25315541015976e-07,2.274283478483663e-07,2.2738357105662076e-07,2.2525661593736027e-07,2.2115581583827276e-07,2.1520741350766747e-07,2.0755695533914064e-07,1.983755594885618e-07,1.8784185972459265e-07,1.7615492115436663e-07,1.635199052388442e-07,1.5015057359692407e-07,1.3626470624463273e-07,1.2208341029519021e-07,1.078259484386039e-07,9.371062068077844e-08,7.99464232119674e-08,6.67388796061438e-08,5.428115713016121e-08,4.275542078778282e-08,3.232684800923748e-08,2.3146766769633883e-08,1.5348210250495946e-08,9.043634772424512e-09,4.324412321155627e-09,1.2604122320354287e-09,-1.0442994573161877e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.41110907851075e-08,2.4099261108779135e-07,3.7390416263584126e-07,4.968419902543369e-07,6.11657505285308e-07,7.191029878918348e-07,8.192516202539595e-07,9.118882229701279e-07,9.965750949583201e-07,1.0727823407389854e-06,1.1399416787151665e-06,1.1974375148824763e-06,1.244737638160081e-06,1.2812948841178843e-06,1.3066074415518412e-06,1.3202986064550391e-06,1.3220074938844165e-06,1.3114774947727149e-06,1.2885693984393568e-06,1.253219551963609e-06,1.2055107397421004e-06,1.1455800014788433e-06,1.073711381302868e-06,9.903227110971136e-07,8.959328414613471e-07,7.911585613082608e-07,6.767566756267774e-07,5.536095849684104e-07,4.2265783328369106e-07,2.84984955420704e-07,1.417590019623427e-07,-5.782489735905155e-09,-1.563200686209156e-07,-3.0847525902763014e-07,-4.608295835940574e-07,-6.119314806980738e-07,-7.603108263749041e-07,-9.045243781207309e-07,-1.0431391374277684e-06,-1.174726322045927e-06,-1.2980416302162396e-06,-1.41170972859067e-06,-1.514676536075697e-06,-1.6059032123684978e-06,-1.6844193584709648e-06,-1.749478468942033e-06,-1.800512728710837e-06,-1.8370356495298833e-06,-1.8587801397355244e-06,-1.8656822817257573e-06,-1.8578089549044312e-06,-1.8354034312397259e-06,-1.7988973250806271e-06,-1.7488808881431873e-06,-1.6860912197263948e-06,-1.6114295879234912e-06,-1.5259102846358015e-06,-1.430661569431435e-06,-1.3268965491430207e-06,-1.2159213790732171e-06,-1.0990929900702906e-06,-9.777962704508316e-07,-8.534736371169322e-07,-7.275504088922159e-07,-6.014101842872181e-07,-4.764222244108084e-07,-3.539390842700185e-07,-2.3520467502714577e-07,-1.2142310035886492e-07,-1.3744244990356607e-08,8.686159990145455e-08,1.7940391523364665e-07,2.6313327658503896e-07,3.373183498314201e-07,4.0137257069339933e-07,4.548524539694059e-07,4.973178027200901e-07,5.285913089285067e-07,5.48486597155593e-07,5.570229209070234e-07,5.542344505878574e-07,5.402947022372277e-07,5.154501912713874e-07,4.800521742096775e-07,4.3449203612303063e-07,3.792201932332276e-07,3.147321624435546e-07,2.415466647169391e-07,1.602100369125316e-07,7.14055387081736e-08,6.319457630020618e-40,-8.947592753415863e-58,1.8164377323646862e-75,-5.499391579844283e-93,2.597439913132269e-110,-2.0109309131998795e-127,2.68501726353058e-144,-6.477719140861877e-161,2.9201116995128247e-177,-2.4806810882173356e-193,3.8463606984078867e-209,-9.917817722035039e-225,2.095052246789864e-255,8.403401419820977e-286,-5.649601594e-315
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1557631488002456e-09,1.1748082640841497e-08,1.9921763220870417e-08,2.8685449438662157e-08,3.7982551155496485e-08,4.771363149220546e-08,5.774358064092117e-08,6.79190745280153e-08,7.806951279559891e-08,8.80156888213251e-08,9.75746389893966e-08,1.0655812335714378e-07,1.147888934766774e-07,1.220889141151447e-07,1.2828751467619403e-07,1.3323359291217835e-07,1.367805116397853e-07,1.3879967739151847e-07,1.3918352382633099e-07,1.3783920237322946e-07,1.347010664118893e-07,1.297161918146252e-07,1.2285960225705482e-07,1.1413304676996687e-07,1.0355997439501541e-07,9.118550410206181e-08,7.708362151197037e-08,6.13549966536544e-08,4.411664925866956e-08,2.5515324196285974e-08,5.718290399756256e-09,-1.508874316637565e-08,-3.6700265879230807e-08,-5.889474932412465e-08,-8.143873890416267e-08,-1.0408611486163451e-07,-1.2658288640076795e-07,-1.4867626980184323e-07,-1.7010969753277215e-07,-1.9062260108060133e-07,-2.0998752480315024e-07,-2.279443922359353e-07,-2.4429430855497576e-07,-2.588366590813694e-07,-2.713798458152387e-07,-2.817738544285955e-07,-2.8990092328823434e-07,-2.956556447140472e-07,-2.9897397207509465e-07,-2.9983040326304316e-07,-2.982226829079946e-07,-2.941816679234148e-07,-2.877744559885907e-07,-2.790983040391588e-07,-2.682782206806282e-07,-2.5547160372017525e-07,-2.408570694984927e-07,-2.2463514448066115e-07,-2.0702445844863268e-07,-1.8825751255554844e-07,-1.6857902984812789e-07,-1.4823887935634842e-07,-1.2749526861553798e-07,-1.066037682219404e-07,-8.581183771124237e-08,-6.536206750815184e-08,-4.549143557172479e-08,-2.641610361432873e-08,-8.341659204233916e-09,8.539531340935102e-09,2.4069106672222902e-08,3.809068871862125e-08,5.0492595006053785e-08,6.117185934805431e-08,7.005492646375616e-08,7.70974381508874e-08,8.226184402418212e-08,8.555905717080664e-08,8.70049180474832e-08,8.665419281788842e-08,8.457047768561898e-08,8.084561982685837e-08,7.558931070698578e-08,6.89337119547602e-08,6.10238456379095e-08,5.2020512452033376e-08,4.209833939209279e-08,3.1442867949282304e-08,2.0250997456463408e-08,8.74343308013522e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
